Structure,Date,Time,FishID
CIN,10/29/2020,7:00:09,900_228000281403
CIN,10/29/2020,7:00:23,900_228000281403
CIN,10/29/2020,7:00:26,900_228000281403
CIN,10/29/2020,7:00:28,900_228000281403
CIN,10/29/2020,7:00:28,900_228000281403
CIN,10/29/2020,7:00:34,900_228000281403
CIN,10/29/2020,7:00:34,900_228000281403
CIN,10/29/2020,7:00:35,900_228000281403
CIN,10/29/2020,7:00:35,900_228000281403
CIN,10/29/2020,7:00:35,900_228000281403
CIN,10/29/2020,7:00:37,900_228000281403
CIN,10/29/2020,7:00:37,900_228000281403
CIN,10/29/2020,7:00:38,900_228000281403
CIN,10/29/2020,7:00:39,900_228000281403
CIN,10/29/2020,7:00:40,900_228000281403
CIN,10/29/2020,7:00:40,900_228000281403
CIN,10/29/2020,7:00:40,900_228000281403
CIN,10/29/2020,7:00:41,900_228000281403
CIN,10/29/2020,7:00:46,900_228000281403
CIN,10/29/2020,7:00:46,900_228000281403
CIN,10/29/2020,7:00:48,900_228000281403
CIN,10/29/2020,7:00:48,900_228000281403
CIN,10/29/2020,7:00:49,900_228000281403
CIN,10/29/2020,7:00:49,900_228000281403
CIN,10/29/2020,7:00:51,900_228000281403
CIN,10/29/2020,7:00:59,900_228000281403
CIN,10/29/2020,7:00:59,900_228000281403
CIN,10/29/2020,7:01:00,900_228000281403
CIN,10/29/2020,7:01:00,900_228000281403
CIN,10/29/2020,7:01:00,900_228000281403
CIN,10/29/2020,7:01:01,900_228000281403
CIN,10/29/2020,7:01:01,900_228000281403
CIN,10/29/2020,7:01:10,900_228000281403
CIN,10/29/2020,7:01:14,900_228000281403
CIN,10/29/2020,7:01:16,900_228000281403
CIN,10/29/2020,7:01:20,900_228000281403
CIN,10/29/2020,7:01:20,900_228000281403
CIN,10/29/2020,7:01:58,900_228000281403
CIN,10/29/2020,7:01:59,900_228000281403
CIN,10/29/2020,7:02:00,900_228000281403
CIN,10/29/2020,7:02:08,900_228000281403
CIN,10/29/2020,7:02:12,900_228000281403
CIN,10/29/2020,7:02:13,900_228000281403
CIN,10/29/2020,7:02:13,900_228000281403
CIN,10/29/2020,7:02:14,900_228000281403
CIN,10/29/2020,7:02:15,900_228000281403
CIN,10/29/2020,7:02:15,900_228000281403
CIN,10/29/2020,7:02:15,900_228000281403
CIN,10/29/2020,7:02:16,900_228000281403
CIN,10/29/2020,7:02:16,900_228000281403
CIN,10/29/2020,7:02:21,900_228000281403
CIN,10/29/2020,7:02:22,900_228000281403
CIN,10/29/2020,7:02:23,900_228000281403
CIN,10/29/2020,7:02:24,900_228000281403
CIN,10/29/2020,7:02:25,900_228000281403
CIN,10/29/2020,7:02:26,900_228000281403
CIN,10/29/2020,7:02:26,900_228000281403
CIN,10/29/2020,7:02:27,900_228000281403
CIN,10/29/2020,7:02:28,900_228000281403
CIN,10/29/2020,7:02:29,900_228000281403
CIN,10/29/2020,7:02:29,900_228000281403
CIN,10/29/2020,7:02:34,900_228000281403
CIN,10/29/2020,7:02:36,900_228000281403
CIN,10/29/2020,7:02:38,900_228000281403
CIN,10/29/2020,7:02:38,900_228000281403
CIN,10/29/2020,7:02:38,900_228000281403
CIN,10/29/2020,7:02:38,900_228000281403
CIN,10/29/2020,7:02:38,900_228000281403
CIN,10/29/2020,7:02:38,900_228000281403
CIN,10/29/2020,7:02:39,900_228000281403
CIN,10/29/2020,7:02:39,900_228000281403
CIN,10/29/2020,7:02:39,900_228000281403
CIN,10/29/2020,7:02:40,900_228000281403
CIN,10/29/2020,7:02:40,900_228000281403
CIN,10/29/2020,7:02:41,900_228000281403
CIN,10/29/2020,7:02:47,900_228000281403
CIN,10/29/2020,7:02:58,900_228000281403
CIN,10/29/2020,7:03:02,900_228000281403
CIN,10/29/2020,7:03:02,900_228000281403
CIN,10/29/2020,7:03:06,900_228000281403
CIN,10/29/2020,7:03:07,900_228000281403
CIN,10/29/2020,7:03:07,900_228000281403
CIN,10/29/2020,7:03:09,900_228000281403
CIN,10/29/2020,7:03:10,900_228000281403
CIN,10/29/2020,7:03:11,900_228000281403
CIN,10/29/2020,7:03:11,900_228000281403
CIN,10/29/2020,7:03:12,900_228000281403
CIN,10/29/2020,7:03:12,900_228000281403
CIN,10/29/2020,7:03:13,900_228000281403
CIN,10/29/2020,7:03:17,900_228000281403
CIN,10/29/2020,7:03:18,900_228000281403
CIN,10/29/2020,7:03:20,900_228000281403
CIN,10/29/2020,7:03:21,900_228000281403
CIN,10/29/2020,7:03:23,900_228000281403
CIN,10/29/2020,7:03:23,900_228000281403
CIN,10/29/2020,7:03:24,900_228000281403
CIN,10/29/2020,7:03:24,900_228000281403
CIN,10/29/2020,7:03:30,900_228000281403
CIN,10/29/2020,7:03:31,900_228000281403
CIN,10/29/2020,7:03:31,900_228000281403
CIN,10/29/2020,7:03:33,900_228000281403
CIN,10/29/2020,7:03:33,900_228000281403
CIN,10/29/2020,7:03:54,900_228000281403
CIN,10/29/2020,7:12:27,900_228000281403
CIN,10/29/2020,7:12:27,900_228000281403
CIN,10/29/2020,7:12:28,900_228000281403
CIN,10/29/2020,7:12:28,900_228000281403
CIN,10/29/2020,7:12:28,900_228000281403
CIN,10/29/2020,7:12:36,900_228000281403
CIN,10/29/2020,7:12:37,900_228000281403
CIN,10/29/2020,7:12:37,900_228000281403
CIN,10/29/2020,7:12:38,900_228000281403
CIN,10/29/2020,17:59:14,900_228000281403
CIN,10/29/2020,17:59:15,900_228000281403
CIN,10/29/2020,17:59:16,900_228000281403
CIN,10/29/2020,17:59:40,900_228000281403
CIN,10/29/2020,17:59:40,900_228000281403
CIN,10/29/2020,17:59:40,900_228000281403
CIN,10/29/2020,17:59:41,900_228000281403
CIN,10/29/2020,17:59:43,900_228000281403
CIN,10/29/2020,17:59:44,900_228000281403
CIN,10/29/2020,20:36:09,900_228000281403
CIN,10/29/2020,20:36:11,900_228000281403
CIN,10/30/2020,5:17:25,900_228000281403
CIN,10/30/2020,5:17:26,900_228000281403
CIN,10/30/2020,5:17:27,900_228000281403
CIN,10/30/2020,5:17:27,900_228000281403
CIN,10/30/2020,5:17:29,900_228000281403
CIN,10/30/2020,5:17:30,900_228000281403
CIN,10/30/2020,5:17:30,900_228000281403
CIN,10/30/2020,5:17:33,900_228000281403
CIN,10/30/2020,5:17:33,900_228000281403
CIN,10/30/2020,5:17:43,900_228000281403
CIN,10/30/2020,5:17:46,900_228000281403
CIN,10/30/2020,5:17:47,900_228000281403
CIN,10/30/2020,5:17:47,900_228000281403
CIN,10/30/2020,5:17:48,900_228000281403
CIN,10/30/2020,5:17:48,900_228000281403
CIN,10/30/2020,5:17:50,900_228000281403
CIN,10/30/2020,5:17:50,900_228000281403
CIN,10/30/2020,5:17:51,900_228000281403
CIN,10/30/2020,5:17:52,900_228000281403
CIN,10/30/2020,5:17:52,900_228000281403
CIN,10/30/2020,5:17:52,900_228000281403
CIN,10/30/2020,5:17:53,900_228000281403
CIN,10/30/2020,5:17:53,900_228000281403
CIN,10/30/2020,5:17:55,900_228000281403
CIN,10/30/2020,5:17:55,900_228000281403
CIN,10/30/2020,5:17:56,900_228000281403
CIN,10/30/2020,5:17:56,900_228000281403
CIN,10/30/2020,5:17:57,900_228000281403
CIN,10/30/2020,5:17:57,900_228000281403
CIN,10/30/2020,5:17:57,900_228000281403
CIN,10/30/2020,5:17:58,900_228000281403
CIN,10/30/2020,5:18:00,900_228000281403
CIN,10/30/2020,5:18:01,900_228000281403
CIN,10/31/2020,5:07:12,900_228000281403
CIN,10/31/2020,5:08:34,900_228000281403
CIN,10/31/2020,5:08:39,900_228000281403
CIN,10/31/2020,5:08:40,900_228000281403
CIN,10/31/2020,5:08:40,900_228000281403
CIN,10/31/2020,5:08:41,900_228000281403
CIN,10/31/2020,5:08:41,900_228000281403
CIN,10/31/2020,5:08:41,900_228000281403
CIN,10/31/2020,5:08:42,900_228000281403
CIN,10/31/2020,5:08:42,900_228000281403
CIN,10/31/2020,5:08:42,900_228000281403
CIN,10/31/2020,5:08:43,900_228000281403
CIN,10/31/2020,5:08:44,900_228000281403
CIN,10/31/2020,5:08:47,900_228000281403
CIN,10/31/2020,5:08:49,900_228000281403
CIN,10/31/2020,5:10:51,900_228000281403
CIN,10/31/2020,5:10:52,900_228000281403
CIN,10/31/2020,5:10:52,900_228000281403
CIN,10/31/2020,5:10:53,900_228000281403
CIN,10/31/2020,5:10:54,900_228000281403
CIN,10/31/2020,5:10:54,900_228000281403
CIN,10/31/2020,5:10:54,900_228000281403
CIN,10/31/2020,5:10:54,900_228000281403
CIN,10/31/2020,5:10:55,900_228000281403
CIN,10/31/2020,5:10:55,900_228000281403
CIN,10/31/2020,5:10:55,900_228000281403
CIN,10/31/2020,5:10:56,900_228000281403
CIN,10/31/2020,5:11:01,900_228000281403
CIN,10/31/2020,5:11:01,900_228000281403
CIN,10/31/2020,5:11:02,900_228000281403
CIN,10/31/2020,5:11:06,900_228000281403
CIN,10/31/2020,5:11:13,900_228000281403
CIN,10/31/2020,5:11:13,900_228000281403
CIN,10/31/2020,5:11:16,900_228000281403
CIN,10/31/2020,5:11:16,900_228000281403
CIN,10/31/2020,5:11:16,900_228000281403
CIN,10/31/2020,5:11:16,900_228000281403
CIN,10/31/2020,5:11:18,900_228000281403
CIN,10/31/2020,5:11:18,900_228000281403
CIN,10/31/2020,5:11:19,900_228000281403
CIN,10/31/2020,5:11:19,900_228000281403
CIN,10/31/2020,5:11:56,900_228000281403
CIN,10/31/2020,5:11:58,900_228000281403
CIN,10/31/2020,5:11:58,900_228000281403
CIN,10/31/2020,5:11:58,900_228000281403
CIN,10/31/2020,5:11:58,900_228000281403
CIN,10/31/2020,5:16:14,900_228000281403
CIN,10/31/2020,5:16:21,900_228000281403
CIN,10/31/2020,5:16:21,900_228000281403
CIN,10/31/2020,5:16:21,900_228000281403
CIN,10/31/2020,5:16:22,900_228000281403
CIN,10/31/2020,5:16:22,900_228000281403
CIN,10/31/2020,5:16:22,900_228000281403
CIN,10/31/2020,5:16:28,900_228000281403
CIN,10/31/2020,5:16:31,900_228000281403
CIN,10/31/2020,5:16:35,900_228000281403
CIN,10/31/2020,5:16:39,900_228000281403
CIN,10/31/2020,5:16:39,900_228000281403
CIN,10/31/2020,5:16:50,900_228000281403
CIN,10/31/2020,5:16:50,900_228000281403
CIN,10/31/2020,5:16:51,900_228000281403
CIN,10/31/2020,5:16:53,900_228000281403
CIN,10/31/2020,5:16:53,900_228000281403
CIN,10/31/2020,5:16:53,900_228000281403
CIN,10/31/2020,5:16:53,900_228000281403
CIN,10/31/2020,5:16:54,900_228000281403
CIN,10/31/2020,5:19:16,900_228000281403
CIN,10/31/2020,5:19:18,900_228000281403
CIN,10/31/2020,5:20:02,900_228000281403
CIN,10/31/2020,5:20:04,900_228000281403
